Name;Country 1;Country 2;Country 3;Country 4
Jacob Aagaard;Denmark;Scotland;;
Manuel Aaron;India;;;
István Abonyi;Hungary;;;
Gerald Abrahams;England;;;
Tatev Abrahamyan;Armenia;USA;;
Leonardas Abramavičius;Lithuania;;;
Jude Acers;USA;;;
Peter Acs;Hungary;;;
Michael Adams;England;;;
Weaver Adams;USA;;;
Utut Adianto;Indonesia;;;
András Adorján;Hungary;;;
Yochanan Afek;Israel;;;
Vladimir Afromeev;Russia;;;
Simen Agdestein;Norway;;;
Evgeny Agrest;Belarus;Sweden;;
Georgy Agzamov;Uzbekistan;;;
Carl Ahues;Germany;;;
James Macrae Aitken;Scotland;;;
Ralf Åkesson;Sweden;;;
Anna Akhsharumova;Russia;USA;;
Varuzhan Akobian;Armenia;USA;;
Vladimir Akopian;Armenia;;;
Mohamad AlModiahki;Qatar;;;
Simon Alapin;Lithuania;;;
Vladimir Alatortsev;Russia;;;
Adolf Albin;Romania;;;
Lev Alburt;Russia;USA;;
Alexander Alekhine;Russia;France;;
Alexei Alekhine;Russia;;;
Grace Alekhine;USA;England;France;
Aleksej Aleksandrov;Belarus;;;
Evgeny Alekseev;Russia;;;
Hugh Alexander;England;;;
Aaron Alexandre;Germany;France;England;
Nana Alexandria;Georgia;;;
Johann Baptist Allgaier;Germany;Austria;;
Zoltán Almási;Hungary;;;
Izak Aloni;Poland;Israel;;
Yoel Aloni;Israel;;;
Boris Alterman;Israel;;;
Friedrich Amelung;Estonia;Latvia;;
Bassem Amin;Egypt;;;
Farrukh Amonatov;Tajikistan;;;
Bruce Amos;Canada;;;
An Yangfeng;China;;;
Viswanathan Anand;India;;;
Erik Andersen;Denmark;;;
Frank Anderson;Canada;;;
Adolf Anderssen;Germany;;;
Ulf Andersson;Sweden;;;
Dmitry Andreikin;Russia;;;
Zaven Andriasian;Armenia;;;
Dejan Antic;Serbia;;;
Rogelio Antonio Jr.;Philippines;;;
Vladimir Antoshin;Russia;;;
Oskar Antze;Germany;;;
Manuel Apicella;France;;;
Izaak Appel;Poland;;;
Fricis Apšenieks;Latvia;;;
Lev Aptekar;Ukraine;New Zealand;;
José Joaquin Araiza;Mexico;;;
Ketevan ArakhamiaGrant;Georgia;;;
Walter Arencibia;Cuba;;;
Alexander Areshchenko;Ukraine;;;
Keith Arkell;England;;;
Romanas Arlauskas;Lithuania;Australia;;
Jon Arnason;Iceland;;;
Dagur Arngrímsson;Iceland;;;
Levon Aronian;Armenia;;;
Lev Aronin;Russia;;;
Andreas Ascharin;Estonia;Latvia;;
Jacob Ascher;England;Canada;;
Konstantin Aseev;Russia;;;
Maurice Ashley;Jamaica;USA;;
Karen Asrian;Armenia;;;
AsSuli;Abbasid Caliphate;;;
Ekaterina Atalik;Russia;Turkey;;
Suat Atalık;Turkey;;;
Henry Atkins;England;;;
Arnold Aurbach;Poland;France;;
Yuri Averbakh;Russia;;;
Valeriy Aveskulov;Ukraine;;;
Herbert Avram;USA;;;
Boris Avrukh;Israel;;;
Zurab Azmaiparashvili;Georgia;;;
Alexander Baburin;Russia;Ireland;;
Étienne Bacrot;France;;;
Paul Baender;Germany;Bolivia;;
Giorgi Bagaturov;Georgia;;;
Amir Bagheri;Iran;;;
Camilla Baginskaite;Soviet Union;Lithuania;U.S.A.;
Vladimir Bagirov;USSR;Latvia;;
Mary Bain;USA;;;
David Graham Baird;USA;;;
Vladimir Baklan;Ukraine;;;
Yuri Balashov;Russia;;;
Rosendo Balinas;Jr.;Philippines;;
Zoltán von Balla;Hungary;;;
Csaba Balogh;Hungary;;;
János Balogh;Romania;Hungary;;
Julio Balparda;Uruguay;;;
Amikam Balshan;Israel;;;
Hristos Banikas;Greece;;;
Anatoly Bannik;Ukraine;;;
David Baramidze;Georgia;Germany;;
Zsigmond Barász;Hungary;;;
Abraham Baratz;Romania;France;;
Gerardo Barbero;Argentina;Hungary;;
Gedeon Barcza;Hungary;;;
Olaf Barda;Norway;;;
Curt von Bardeleben;Germany;;;
Leonard Barden;England;;;
Evgeny Bareev;Russia;;;
Robert Henry Barnes;England;New Zealand;;
Thomas Wilson Barnes;England;;;
Alexei Barsov;Uzbekistan;;;
Mateusz Bartel;Poland;;;
Dibyendu Barua;India;;;
Cerdas Barus;Indonesia;;;
Michael Basman;England;;;
Christian Bauer;France;;;
Johann Hermann Bauer;Bohemia;Austria;;
Friedrich Baumbach;Germany;;;
Albert Becker;Austria;Germany;Argentina;
Anjelina Belakovskaia;Ukraine;USA;;
Liudmila Belavenets;Russia;;;
Sergey Belavenets;Russia;;;
Alexander Beliavsky;Ukraine;Slovenia;;
Slim Belkhodja;Tunisia;;;
Jana Bellin;Czechoslovakia;England;;
Zdzisław Belsitzmann;Poland;circa;;
Levi Benima;Netherlands;;;
Clarice Benini;Italy;;;
Joel Benjamin;USA;;;
Francisco Benkö;Germany;Argentina;;
Pal Benko;France;Hungary;USA;
David Berczes;Hungary;;;
Emanuel Berg;Sweden;;;
Bela Berger;Hungary;Australia;;
Johann Berger;Austria;;;
Victor Berger;Ukraine;England;;
Nils Bergkvist;Sweden;;;
Teodors Bergs;Latvia;;;
Hans Berliner;Germany;USA;;
Ivar Bern;Norway;;;
Karl Berndtsson;Sweden;;;
Jacob Bernstein;USA;;;
Ossip Bernstein;Ukraine;France;;
Sidney Norman Bernstein;USA;;;
Yaacov Bernstein;Israel;;;
Mario Bertok;Croatia;;;
Katarina Beskow;Sweden;;;
Louis Betbeder Matibet;France;;;
Karlis Betinš;Latvia;;;
Siegmund Beutum;Austria;;;
Vinay Bhat;USA;;;
Carlos Bielicki;Argentina;;;
Martin Bier;Germany;;;
Horace Bigelow;USA;;;
István Bilek;Hungary;;;
Paul Rudolf von Bilguer;Germany;;;
Maurice Billecard;France;;;
Reefat BinSattar;Bangladesh;;;
Henry Bird;England;;;
Nathan Birnboim;Israel;;;
Klaus Bischoff;Germany;;;
Arthur Bisguier;USA;;;
Peter Biyiasas;Greece;Canada;;
Dimitrije Bjelica;Serbia;;;
Roy Turnbull Black;USA;;;
Joseph Henry Blackburne;England;;;
Armand Blackmar;USA;;;
Joseph Henry Blake;England;;;
Abram Blass;Poland;Israel;;
Ottó Bláthy;Hungary;;;
Max Blau;Germany;Switzerland;;
Ludwig Bledow;Germany;;;
Paweł Blehm;Poland;;;
Dirk Bleijkmans;Netherlands;Indonesia;;
Yaacov Bleiman;Lithuania;Israel;;
Claude Bloodgood;USA;;;
Oscar Blum;Lithuania;France;;
Benjamin Blumenfeld;Belarus;Russia;;
Max Blümich;Germany;;;
Boris Blumin;Russia;Canada;USA;
Milko Bobotsov;Bulgaria;;;
Dmitry Bocharov;Russia;;;
Samuel Boden;England;;;
Fedor Bogatyrchuk;Ukraine;Canada;;
Efim Bogoljubov;Ukraine;Germany;;
Paolo Boi;Italy;;;
Jácobo Bolbochán;Argentina;;;
Julio Bolbochán;Argentina;;;
Isaac Boleslavsky;Ukraine;;;
Victor Bologan;Moldova;;;
Igor Bondarevsky;Russia;;;
Eero Böök;Finland;;;
Tea BosboomLanchava;Netherlands;Georgia;;
Johannes van den Bosch;Netherlands;;;
George Botterill;England;Wales;;
Mikhail Botvinnik;Russia;;;
LouisCharles Mahé de La Bourdonnais;France;;;
César Boutteville;Vietnam;France;;
Olena Boytsun;Ukraine;;;
Julius Brach;Czechoslovakia;;;
Gyula Breyer;Hungary;;;
Alfred Brinckmann;Germany;;;
Mirko Bröder;Hungary;Serbia;;
Miklós Bródy;Hungary;Romania;;
Vladimir Bron;Ukraine;;;
David Bronstein;Ukraine;;;
Walter Browne;Australia;USA;;
Agnieszka Brustman;Poland;;;
Lázaro Bruzón;Cuba;;;
Stellan Brynell;Sweden;;;
Bu Xiangzhi;China;;;
Henry Thomas Buckle;England;;;
Gerardo Budowski;Germany;France;Venezuela;Costa Rica
Wincenty Budzyński;Poland;France;;
Constant Ferdinand Burille;France;USA;;
Amos Burn;England;;;
Algimantas Butnorius;Lithuania;;;
Elisabeth Bykova;Russia;;;
Donald Byrne;USA;;;
Robert Byrne;USA;;;
Elisabeth Bykova;Russia;;;
Florencio Campomanes;Philippines;;;
Daniel Hugo Cámpora;Argentina;;;
Esteban Canal;Peru;Italy;;
Arianne Caoili;Australia;;;
José Raúl Capablanca;Cuba;;;
Rodolfo Tan Cardoso;Philippines;;;
Ruth Volgl Cardoso;Brazil;;;
Carl Carls;Germany;;;
Magnus Carlsen;Norway;;;
Pontus Carlsson;Sweden;;;
Horatio Caro;England;Germany;;
Berna Carrasco;Chile;;;
Pietro Carrera;Sicily;;;
Fabiano Caruana;Dual citizenship: USA and Italy;;;
Vincenzo Castaldi;Italy;;;
Mariano Castillo;Chile;;;
Mišo Cebalo;Croatia;;;
Giovanni Cenni;Italy;;;
Alfonso Ceron;Spain;;;
Oscar Chajes;Ukraine;Austria;USA;
Ferenc Chalupetzky;Hungary;;;
Edward Chamier;England;France;;
Chan Peng Kong;Singapore;;;
Sandipan Chanda;India;;;
Chang Tung Lo;China;;;
Murray Chandler;New Zealand;England;;
Pascal Charbonneau;Canada;;;
Rudolf Charousek;Hungary;;;
Chantal Chaudé de Silans;France;;;
Valery Chekhov;Russia;;;
Vitaly Chekhover;Russia;;;
Chen De;China;;;
Ivan Cheparinov;Bulgaria;;;
Alexander Cherepkov;Russia;;;
Irving Chernev;Russia;USA;;
Alexander Chernin;Ukraine;Hungary;;
Konstantin Chernyshov;Russia;;;
André Chéron;France;;;
Maia Chiburdanidze;Georgia;;;
Mikhail Chigorin;Russia;;;
Larry Christiansen;USA;;;
Vladimir Chuchelov;Russia;Belgium;;
Slavko Cicak;Montenegro;Sweden;;
Roberto Cifuentes;Chile;Netherlands;Spain;
Victor Ciocâltea;Romania;;;
Hermann Clemenz;Estonia;;;
Albert Clerc;France;;;
Viktorija Čmilytė;Lithuania;;;
John Cochrane;England;;;
Erich Cohn;Germany;;;
Wilhelm Cohn;Germany;;;
Edgard Colle;Belgium;;;
John W. Collins;USA;;;
Eugene Ernest Colman;England;;;
Adrián García Conde;Mexico;England;;
Stuart Conquest;England;;;
Anya Corke;England;Hong Kong;;
Nicolaas Cortlever;Netherlands;;;
Juan Corzo;Cuba;;;
Carlo Cozio;Italy;;;
Spencer Crakanthorp;Australia;;;
Pia Cramling;Sweden;;;
Robert Crépeaux;France;;;
Walter Cruz;Brazil;;;
István Csom;Hungary;;;
Miguel Cuéllar;Colombia;;;
Josef Cukierman;Poland;France;;
John Curdo;USA;;;
Ognjen Cvitan;Croatia;;;
Hieronim Czarnowski;Poland;France;Austria;Hungary
Moshe Czerniak;Poland;Israel;;
Arthur Dake;USA;;;
Pedro Damiano;Portugal;;;
Mato Damjanović;Croatia;;;
Gösta Danielsson;Sweden;;;
Silvio Danailov;Bulgaria;;;
A. Polak Daniels;Netherlands;;;
Dawid Daniuszewski;Poland;;;
Klaus Darga;Germany;;;
Alberto David;Luxembourg;;;
Jacques Davidson;Netherlands;;;
Nigel Davies;England;;;
Boris De Greiff;Colombia;;;
Frederic Deacon;Belgium;;;
Chakkravarthy Deepan;India;;;
Nick de Firmian;USA;;;
Marigje Degrande;Belgium;;;
Aleksander Delchev;Bulgaria;;;
Eugene Delmar;USA;;;
Yelena Dembo;Russia;Israel;Hungary;Greece
Arnold Denker;USA;;;
Alexandre Deschapelles;France;;;
Andrei Deviatkin;Russia;;;
Paul Devos;Belgium;;;
André Diamant;Brazil;;;
Emil Josef Diemer;Germany;;;
Mark Diesen;USA;;;
Julius Dimer;Germany;;;
Nathan Divinsky;Canada;;;
Rune Djurhuus;Norway;;;
Maxim Dlugy;Russia;USA;;
Josef Dobiáš;Bohemia;Czechoslovakia;;
Yosef Dobkin;Russia;Israel;;
Yury Dokhoian;Russia;;;
Sergey Dolmatov;Russia;;;
Lenier Dominguez;Cuba;;;
Józef Dominik;Poland;;;
Zadok Domnitz;Israel;;;
Elena Donaldson;Russia;Georgia;USA;
John W. Donaldson;USA;;;
Ivo Donev;Austria;;;
Jan Hein Donner;Netherlands;;;
Iossif Dorfman;Ukraine;France;;
Alexey Dreev;Russia;;;
Leonids Dreibergs;Latvia;USA;;
Kurt Dreyer;Germany;South Africa;;
Tihomil Drezga;Croatia;USA;;
Yuri Drozdovskij;Ukraine;;;
Leroy Dubeck;USA;;;
Serafino Dubois;Italy;;;
Daniil Dubov;Russia;;;
Andreas Dückstein;Hungary;Austria;;
Jean Dufresne;Germany;;;
Andreas Duhm;Germany;Switzerland;;
Dietrich Duhm;Germany;Switzerland;;
Hans Duhm;Germany;Switzerland;;
Arthur Dunkelblum;Poland;Belgium;;
Oldřich Duras;Bohemia;Czechoslovakia;;
Fyodor DuzKhotimirsky;Ukraine;;;
Mark Dvoretsky;Russia;;;
Joanna Dworakowska;Poland;;;
Eduard Dyckhoff;Germany;;;
Viacheslav Dydyshko;Belarus;;;
Boruch Israel Dyner;Poland;Belgium;Israel;
Semen Dvoirys;Russia;;;
Nana Dzagnidze;Georgia;;;
Roman Dzindzichashvili;Georgia;Israel;USA;
Marat Dzhumaev;Uzbekistan;;;
James Eade;USA;;;
Zahar Efimenko;Ukraine;;;
Marsel Efroimski;Israel;;;
Jaan Ehlvest;Estonia;;;
Rakhil Eidelson;Belarus;;;
Vereslav Eingorn;Ukraine;;;
Louis Eisenberg;Ukraine;USA;;
Bengt Ekenberg;Sweden;;;
Folke Ekström;Sweden;;;
Erich Eliskases;Austria;Germany;Argentina;
Pavel Eljanov;Ukraine;;;
Moissei Eljaschoff;Lithuania;;;
John Emms;England;;;
Lucijs Endzelins;Estonia;Latvia;Australia;
Jens Enevoldsen;Denmark;;;
Ludwig Engels;Germany;Brazil;;
Berthold Englisch;Austria;;;
David Enoch;Israel;;;
Vladimir Epishin;Russia;;;
Stefan Erdélyi;Hungary;Romania;;
Hanna Ereńska;Poland;;;
Evgenij Ermenkov;Bulgaria;Palestine;;
Wilhelm Ernst;Germany;;;
John Angus Erskine;New Zealand;Australia;;
Yakov Estrin;Russia;;;
Max Euwe;Netherlands;;;
Larry Evans;USA;;;
William Davies Evans;Wales;;;
Alexander Evensohn;Ukraine;;;
Győző Exner;Hungary;;;
Samuel Factor;Poland;USA;;
Louisa Matilda Fagan;Italy;England;;
Hugo Fähndrich;Hungary;Austria;;
Hans Fahrni;Bohemia;Switzerland;;
William Fairhurst;England;Scotland;New Zealand;
Sammi Fajarowicz;Germany;;;
Raphael Falk;Russia;;;
Ernst Falkbeer;Austria;Hungary;;
Stefan Fazekas;Hungary;Czechoslovakia;England;
Sergey Fedorchuk;Ukraine;;;
Alexei Fedorov;Belarus;;;
John Fedorowicz;USA;;;
Vladimir Fedoseev;Russia;;;
Movsas Feigins;Latvia;Argentina;;
Rafał Feinmesser;Poland;;;
Florin Felecan;Romania;USA;;
Virgilio Fenoglio;Argentina;;;
Arthur Feuerstein;USA;;;
Alexandr Fier;Brazil;;;
Martha Fierro;Ecuador;;;
Miroslav Filip;Czech Republic;;;
Anton Filippov;Uzbekistan;;;
Reuben Fine;USA;;;
Ben Finegold;USA;;;
Julius Finn;Poland;USA;;
Nick de Firmian;USA;;;
Robert James Fischer;USA;Iceland;;
Alex Fishbein;USA;;;
Alexander Flamberg;Poland;;;
Alfred Flatow;Germany;Australia;;
Glenn Flear;England;;;
Ernst Flechsig;Germany;;;
Bernhard Fleissig;Hungary;Austria;;
Max Fleissig;Hungary;Austria;;
János Flesch;Hungary;;;
Salo Flohr;Ukraine;Czechoslovakia;Russia;
Rodrigo Flores;Chile;;;
Alberto Foguelman;Argentina;;;
Jan Foltys;Czechoslovakia;;;
George Salto Fontein;Netherlands;;;
Arnold van Foreest;Netherlands;;;
Dirk van Foreest;Netherlands;;;
Leó Forgács;Hungary;;;
Győző Forintos;Hungary;;;
Albert Fox;USA;;;
Maurice Fox;Ukraine;Canada;;
Selim Franklin;England;USA;;
Zenon Franco;Paraguay;;;
Michael Freeman;England;New Zealand;;
Laurent Fressinet;France;;;
Sergey von Freymann;Russia;Uzbekistan;;
Joel Fridlizius;Sweden;;;
Daniel Fridman;Latvia;Germany;;
Frederic Friedel;Germany;;;
Gunnar Friedemann;Estonia;;;
David Friedgood;South Africa;England;;
Henryk Friedman;Poland;;;
Alexander Fritz;Germany;;;
Martin Severin From;Denmark;;;
Achilles Frydman;Poland;;;
Paulino Frydman;Poland;Argentina;;
Ľubomír Ftáčnik;Czechoslovakia;Slovakia;;
Andrija Fuderer;Vojvodina;Belgium;;
Semyon Furman;Russia;;;
Ivana Maria Furtado;India;;;
Géza Füster;Hungary;Canada;;
Roy Fyllingen;Norway;;;
Merab Gagunashvili;Georgia;;;
Aleksandr Galkin;Russia;;;
Joseph Gallagher;England;Switzerland;;
Alisa Galliamova;Russia;;;
Surya Shekhar Ganguly;India;;;
Nona Gaprindashvili;Georgia;;;
Valeriane Gaprindashvili;Georgia;;;
Carlos Garcia Palermo;Argentina;Italy;;
Raimundo Garcia;Argentina;;;
Timur Gareev;Uzbekistan;;;
Eldar Gasanov;Ukraine;;;
Vugar Gashimov;Azerbaijan;;;
Anna Gasik;Poland;;;
Einar Gausel;Norway;;;
Viktor Gavrikov;Lithuania;Switzerland;;
Tamaz Gelashvili;Georgia;;;
Boris Gelfand;Belarus;Israel;;
Efim Geller;Ukraine;;;
Uzi Geller;Israel;;;
Petar Genov;Bulgaria;;;
Kiril Georgiev;Bulgaria;;;
Krum Georgiev;Bulgaria;;;
Ernő Gereben;Hungary;Switzerland;;
Regina Gerlecka;Poland;;;
Eugenio German;Brazil;;;
Theodor Germann;Latvia;;;
Alik Gershon;Israel;;;
Edward Gerstenfeld;Poland;Ukraine;;
Georgy Geshev;Bulgaria;;;
Ehsan Ghaem Maghami;Iran;;;
Tigran Gharamian;France;;;
Ameet Ghasi;England;;;
Florin Gheorghiu;Romania;;;
Amédée Gibaud;France;;;
Johannes Giersing;Denmark;;;
Ellen Gilbert;USA;;;
Jessie Gilbert;England;;;
Karl Gilg;Czechoslovakia;Germany;;
Aivars Gipslis;Latvia;;;
Anish Giri;Holland;;;
Matteo Gladig;Italy;;;
Eduard Glass;Austria ;;;
Evgeny Gleizerov;Russia;;;
Igor Glek;Russia;Germany;;
Svetozar Gligorić;Serbia;;;
Fernand Gobet;Switzerland;;;
Michele Godena;Italy;;;
Carl Goering;Germany;;;
Alphonse Goetz;France;;;
Leonid Gofshtein;Israel;;;
Jason Goh KoonJong;Singapore;;;
Goh Weiming;Singapore;;;
Samuel Gold;Hungary;Austria;USA;
Alexander Goldin;Russia;;;
Rusudan Goletiani;Georgia;USA;;
Celso Golmayo Torriente;Cuba;Spain;;
Celso Golmayo Zúpide;Spain;Cuba;;
Manuel Golmayo Torriente;Cuba;Spain;;
Vitali Golod;Ukraine;Israel;;
Harry Golombek;England;;;
Alexander Goloshchapov;Ukraine;;;
Alexander Ferdinand von der Goltz;Germany;;;
Valentina Golubenko;Estonia;Croatia;;
Mikhail Golubev;Ukraine;;;
Aleksei Goncharov;Russia;;;
Gong Qianyun;China;;;
Jayson Gonzales;Philippines;;;
José González García;Mexico;;;
Juan Carlos González Zamora;Mexico;;;
David S. Goodman;England;USA;;
Stephen J. Gordon;England;;;
Danny Gormally;England;;;
George H. D. Gossip;USA;England;;
Solomon Gotthilf;Russia;;;
Hermann von Gottschall;Germany;;;
Boris Grachev;Russia;;;
Alexander Graf;Uzbekistan;Germany;;
Sonja Graf;Germany;Argentina;USA;
Julio Granda Zuniga;Peru;;;
Roberto Grau;Argentina;;;
Gioachino Greco;Italy;;;
Ewen McGowen Green;New Zealand;;;
Alon Greenfeld;USA;Israel;;
John Grefe;USA;;;
Bernhard Gregory;Estonia;Germany;;
Gisela Kahn Gresser;USA;;;
Helgi Gretarsson;Iceland;;;
Richard Griffith;England;;;
Nikolay Grigoriev;Russia;;;
Avetik Grigoryan;Armenia;;;
Vincent Grimm;Austria;Hungary;;
Alexander Grischuk;Russia;;;
Efstratios Grivas;Greece;;;
Henri Grob;Switzerland;;;
Aristide Gromer;France;;;
Adriaan de Groot;Netherlands;;;
Ernst Grünfeld;Austria;;;
Yehuda Gruenfeld;Poland;Israel;;
James Grundy;England;USA;;
Izaak Grynfeld;Poland;Israel;;
Gu Xiaobing;China;;;
Ion Gudju;Romania;;;
Eduard Gufeld;Ukraine;USA;;
Ilse Guggenberger;Colombia;;;
Carlos Guimard;Argentina;;;
Boris Gulko;Russia;USA;;
Gunnar Gundersen;France;Norway;Australia;
Isidor Gunsberg;Hungary;England;;
Abhijeet Gupta;India;;;
Dmitry Gurevich;Russia;USA;;
Ilya Gurevich;Ukraine;USA;;
Mikhail Gurevich;Ukraine;Belgium;Turkey;
Bukhuti Gurgenidze;Georgia;;;
Jan Gustafsson;Germany;;;
Emanuel Guthi;Israel;;;
Lev Gutman;Latvia;Israel;Germany;
Fritz Gygli;Switzerland;;;
Alfred William Gyles;New Zealand;;;
Anna Hahn;Latvia;USA;;
Vitaly Halberstadt;Ukraine;France;;
Alexander Halprin;Russia;Austria;;
Tunc Hamarat;Turkey;Austria;;
Hichem Hamdouchi;Morocco;;;
Rani Hamid;Bangladesh;;;
Jon Ludvig Hammer;Norway;;;
Carl Hamppe;Switzerland;Austria;;
Milton Hanauer;USA;;;
James Hanham;USA;;;
Hermann von Hanneken;Germany;;;
Curt Hansen;Denmark;;;
